fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220526 175137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	0.0104520331468245	0.78278288962326	4017	633	0.015974645334452	13363000	60
20220526 175215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0365345869239132	0.616514093692701	4103	904	0.0154646726933295	13467000	61
20220526 175411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0100587213951661	0.579081228737094	652	1003	0.0151768329631384	13598000	62
20220526 175620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	525	TRUE	0.0101929597653326	0.545734822768354	2442	646	0.0154975689901555	14051000	63
20220526 175826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	513	TRUE	0.0100334593017623	0.507069421231084	1721	586	0.0153454887574378	13523000	64
20220526 180025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	597	TRUE	0.0102550326666338	0.574751610381022	2630	677	0.0158213033826279	13785000	65
20220526 180058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	222	TRUE	0.0482976544686877	0.216982579861983	2651	697	0.0153248830432223	13483000	66
20220526 180154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	325	TRUE	0.0198555515065904	0.447772966901897	6757	96	0.0173451455989362	13630000	67
20220526 180247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	283	TRUE	0.0194272644688679	0.4866571111763	8000	163	0.0267060345200577	11711000	68
20220526 180302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.0817861922848167	0.997809254258416	2172	1024	0.015099744638877	13018000	69
20220526 180533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	562	TRUE	0.0100342150674501	0.446161944208952	2258	1021	0.0131284058315705	13340000	70
20220526 180723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	838	TRUE	0.0108296656454031	0.280393838809561	7772	685	0.0171342127684519	13585000	71
20220526 180916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	643	TRUE	0.0100334646654599	0.55996960777678	7988	1020	0.0119049619431218	12724000	72
20220526 181008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	304	TRUE	0.0161388390392165	0.959303737364613	3741	1023	0.010686618459511	12501000	73
20220526 181017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.299809128535136	0.999745871710765	5597	1010	0.0171185099097712	12817000	74
20220526 181033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0695858859494382	0.20269891541826	7786	1024	0.0279139849721372	11979000	75
20220526 181216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	612	TRUE	0.0100286932661685	0.428345813424638	5596	680	0.0154065957070476	13650000	76
20220526 181405	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	709	TRUE	0.0107687842062588	0.418182898613251	5632	638	0.0178914771814616	13701000	77
20220526 181446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	352	TRUE	0.0165154974618598	0.936912171583349	7995	709	0.031039863461138	11005000	78
20220526 181458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.269626193079502	0.501928185229923	2368	1024	0.015417713490044	12157000	79
20220526 181831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0114794106987353	0.807351929881133	155	1020	0.0208512323379661	10345000	80
20220526 181847	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.285128693022209	0.874562949320584	7954	1022	0.0263393872962042	12207000	81
20220526 181857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.256925449659721	0.604846726125423	6862	1024	0.00990695256738365	11718000	82
20220526 181907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.253496804537398	0.409501937862892	6197	17	0.0170888028700668	12948000	83
20220526 181922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0842927143004272	0.998801310220952	6360	311	0.0216369326642519	12893000	84
20220526 181930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.299994814562992	0.639837521028214	5622	17	0.0258818362259644	11699000	85
20220526 182124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	780	TRUE	0.0100750220012364	0.409700929686031	6793	481	0.0171833723494073	13472000	86
20220526 182246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0113319631789361	0.472707693229145	2501	760	0.0153158476927794	13611000	87
20220526 182317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0347881926334478	0.220931930891663	5388	939	0.0158866307054182	13445000	88
20220526 182434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	581	TRUE	0.0116476183438037	0.200580554582374	5519	630	0.0159091172672185	13269000	89
20220526 182551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	465	TRUE	0.0126478948735719	0.326784806628782	4974	818	0.0160681549305804	13634000	90
20220526 182736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	469	TRUE	0.011381115998315	0.548870371827087	2330	1016	0.0154836167483007	13706000	91
20220526 182756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0709949264236095	0.391440525873475	7972	992	0.0167131745145104	13348000	92
20220526 183041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1430	TRUE	0.01001447288353	0.219065003203368	2527	984	0.011376888930892	13154000	93
20220526 183114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0239096212285831	0.750480100908666	7203	948	0.0154061956509721	13422000	94
20220526 183339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.0105241945656738	0.549133951186121	221	1018	0.0100746693839215	13368000	95
20220526 183439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	513	TRUE	0.0189260289053539	0.210198006089929	3051	16	0.0132748185001703	13553000	96
20220526 183606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	693	TRUE	0.0101050041127053	0.998705070357279	3753	134	0.016828239271439	13137000	97
20220526 183753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	858	TRUE	0.0101770350884205	0.27068628909515	5142	16	0.0155024317845969	13654000	98
20220526 183825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.0149927932312636	0.251092519203519	2875	16	0.00835480619941887	11831000	99
20220526 183835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.249301347749595	0.200765048890534	4427	850	0.0135734796119104	12332000	100
20220526 183937	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	407	TRUE	0.0177808330537688	0.699464577973501	2347	1023	0.0124857641892618	13388000	101
20220526 184204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0117203582330183	0.200861654596424	64	1018	0.0140421871329732	10625000	102
20220526 184329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	586	TRUE	0.0124442161684675	0.274614746624546	6994	1007	0.0123422321733304	12999000	103
20220526 184500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.010024267055197	0.545794460376655	1732	912	0.012959529476145	13345000	104
20220526 184539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	322	TRUE	0.0320141830701691	0.200628331831898	3593	16	0.0165558025763896	13303000	105
20220526 184548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.255947863516581	0.999981755063682	4434	16	0.0217631329429387	12157000	106
20220526 184735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	858	TRUE	0.0105882324432058	0.249870542011569	4895	718	0.0212750398068493	13148000	107
20220526 184938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	948	TRUE	0.0103874504882193	0.261686754368906	3329	654	0.0134050912389501	13340000	108
20220526 185044	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	604	TRUE	0.0107604527321841	0.918792197859348	7237	284	0.0165931416168862	13077000	109
20220526 185225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	601	TRUE	0.0100299186026444	0.559640608369807	7631	233	0.0175057948261547	13509000	110
20220526 185251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0885261964390292	0.277166059160171	5893	721	0.0170263286193686	13425000	111
20220526 185324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.030801036468878	0.960445348955832	3038	507	0.0160930461974653	13192000	112
20220526 185520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	601	TRUE	0.0107544631491394	0.549190301465383	2790	256	0.0209180629481452	13021000	113
20220526 185654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	478	TRUE	0.0106640159265537	0.369545431705448	3186	1024	0.00847908095017295	11738000	114
20220526 185800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	0.0103130800201492	0.748629596942093	5762	283	0.0243471346944656	12094000	115
20220526 185816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0705824511251308	0.765276560876321	3997	960	0.0153842955993916	13261000	116
20220526 185914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	522	TRUE	0.013505363827948	0.696996489143022	6334	678	0.0160544461872998	13258000	117
20220526 190119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	910	TRUE	0.0109406348594631	0.456673469322773	6864	843	0.0168330094580245	13514000	118
20220526 190256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	920	TRUE	0.0102948036385327	0.895685491903468	4420	167	0.0205643219515814	12720000	119
20220526 190344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0158270318826572	0.955912754497876	7973	1024	0.0160146030881982	13010000	120
