fecha	objective	metric	grow_policy	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	max_depth	num_leaves	min_gain_to_split	max_bin	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220601 140921	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.0969828951667296	0.757915139077684	6599	7	632	0.193583319231402	92.707486591664	96.4733160230228	0.0408376401866985	0	31
20220601 140933	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	23	TRUE	0.259918738793802	0.467334369277038	7043	5	58	0.14333540701385	32.6920060906559	28.1913667658551	0.0226573497488668	12496000	32
20220601 140944	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.0864333681103178	0.264753133994721	2120	27	516	0.154855523438891	81.8904467599673	49.2951104993052	0.0495803364118156	0	33
20220601 140953	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	72	TRUE	0.0591825293942303	0.776134273343551	2942	7	454	0.169074384648896	90.2459262812044	4.76023288598905	0.0283437229332911	9510000	34
20220601 141004	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	107	TRUE	0.123416121157417	0.780484353783928	5636	29	226	0.183914324522872	16.06180088905	93.4938073727406	0.0147690714956735	12355000	35
20220601 141010	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	27	TRUE	0.297294306514604	0.696503292862326	7854	24	983	0.0874587894766592	42.4602918171634	8.36344980440724	0.0439610293324761	5669000	36
20220601 141039	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	86	TRUE	0.0305573612594485	0.413219552246543	2817	12	724	0.0501516804846081	28.5263885200645	35.525786174306	0.0126476244097662	12306000	37
20220601 141051	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	37	TRUE	0.243445505507538	0.300806943163571	4886	28	561	0.151214051562019	31.1430463250866	79.8160723892774	0.0266205886407612	11755000	38
20220601 141107	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	54	TRUE	0.161189741752566	0.397170707562473	6632	29	45	0.112444738690766	0.469600874949426	23.6708782704106	0.0273093986775526	12431000	39
20220601 141134	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	132	TRUE	0.120866076639826	0.365524739946333	6011	11	281	0.0886211851663088	14.3944936684847	66.0444230400959	0.0173245502763531	13123000	40
