fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220530 075405	0	0	0	1	auto	depthwise	256	0	1	0.0103217753792565	0.346530857592188	10	5	0.0163760285200406	490	13564000	51
20220530 084011	0	0	0	1	auto	depthwise	256	0	1	0.0120812871098774	0.926896707390444	9	30	0.0126397332170493	178	13406000	52
20220530 085726	0	0	0	1	auto	depthwise	256	0	1	0.0101446988989689	0.383289716500544	10	9	0.0132975612669268	257	13291000	53
20220530 090155	0	0	0	1	auto	depthwise	256	0	1	0.0700373777519385	0.99900390611501	10	2	0.0161816802585409	202	12781000	54
20220530 090610	0	0	0	1	auto	depthwise	256	0	1	0.0538631926882224	0.370069688659057	9	7	0.016074818209366	91	13099000	55
20220530 091508	0	0	0	1	auto	depthwise	256	0	1	0.0238226547236066	0.91065749712043	9	2	0.0134577512739172	459	13243000	56
20220530 092510	0	0	0	1	auto	depthwise	256	0	1	0.0103751752820402	0.30800615701255	5	2	0.0154605179416595	1113	13248000	57
20220530 092803	0	0	0	1	auto	depthwise	256	0	1	0.0390757243337726	0.365935877491357	10	2	0.015382774425564	252	12987000	58
20220530 092906	0	0	0	1	auto	depthwise	256	0	1	0.164840932339733	0.201305506559658	7	2	0.0171054438464065	105	12947000	59
20220530 094637	0	0	0	1	auto	depthwise	256	0	1	0.0100011246712387	0.226131339433577	8	12	0.0166005509584049	465	13152000	60
20220530 094845	0	0	0	1	auto	depthwise	256	0	1	0.140096191018313	0.41081091245727	10	5	0.0176938146004662	48	12700000	61
20220530 095007	0	0	0	1	auto	depthwise	256	0	1	0.224903764316166	0.334752263506451	5	2	0.0148893406546745	129	13193000	62
