Feature	Gain	Cover	Frequency
Master_mlimitecompra_lag1	0.00175522410029575	0.00228952490305208	0.00325921253219787
cproductos_lag1	0.00173669559933095	0.00281759223511532	0.00359214284462668
Visa_msaldopesos_delta1	0.00172884919376454	0.00208255675587237	0.00321540591214144
Visa_msaldototal_lag1	0.00172331684503659	0.001550148219376	0.00295256619180291
ccaja_ahorro_delta1	0.00171726236028733	0.00576846465706462	0.000578247384744783
mpagomiscuentas	0.00169934645165937	0.00389075440248481	0.00311903134801731
Visa_mconsumosdolares	0.00160558181933901	0.00256977314363834	0.00360966549264925
Visa_msaldototal_delta1	0.00154934540826641	0.00262111565220954	0.00357462019660411
ctarjeta_visa_trx_lag1	0.00147757988029403	0.00506632498757816	0.00396887977711192
internet	0.00144841931713267	0.00320369774002349	0.00222537629886628
Visa_cconsumos_delta1	0.00143680882194279	0.00307022841421508	0.00311027002400603
ctransferencias_recibidas	0.00142332411528951	0.00220507953864674	0.00270724911948694
ccallcenter_trx	0.00141558449524298	0.00675780298253435	0.00251449999123868
mtarjeta_master_consumo	0.00140484759237319	0.00180949702598699	0.00117401741751213
mpagomiscuentas_lag1	0.0013170157241302	0.00433289100282903	0.00290875957174648
mtarjeta_visa_consumo_delta1	0.00131522084788573	0.00357417172719521	0.00294380486779162
ctarjeta_debito	0.00130088505884256	0.00183899832529128	0.00247945469519354
Visa_mconsumosdolares_delta1	0.00125507088003415	0.00215622511831543	0.00277733971157721
cmobile_app_trx_delta1	0.00125188945812415	0.00291770039704688	0.00294380486779162
mautoservicio_lag1	0.00124936338948877	0.00241324085225396	0.00311027002400603
ccaja_seguridad	0.00124238829977076	0.00299701234062393	0.000648337976835059
Master_mpagospesos_lag1	0.00123806976086663	0.00291109859375391	0.00261963587937409
ctarjeta_visa_debitos_automaticos_lag1	0.0011854335248158	0.00285682162588897	0.00226918291892271
Master_mpagominimo_lag1	0.00118272056439647	0.00207174086552282	0.0018749233384149
mcuenta_debitos_automaticos_lag1	0.0011633057369852	0.00233552709842636	0.00239184145508069
Master_mpagominimo	0.0011572002970078	0.00371823875337008	0.00208519511468573
Master_msaldototal	0.00112925125567746	0.00227067648565982	0.00254954528728381
ctarjeta_debito_lag1	0.00112628070071665	0.00170441084306715	0.00199758187457289
Master_msaldopesos	0.00111432487998093	0.00298752119164063	0.00196253657852775
ctarjeta_debito_trx	0.00110011778001874	0.0016653647503244	0.00288247559971263
Master_fultimo_cierre_delta1	0.00109478971313481	0.00143431154930337	0.00219033100282115
ctransferencias_emitidas	0.00106871292552265	0.00487641723737615	0.00251449999123868
ccomisiones_otras_delta1	0.00106528782833641	0.00167662024853002	0.00203262717061802
mcomisiones_mantenimiento_delta1	0.00105675632181443	0.00661157311644946	0.00147190243389581
ccaja_seguridad_lag1	0.00105643178060465	0.000611886562691776	0.00032416898841753
mautoservicio_delta1	0.00104761807479516	0.00498885778305165	0.0027861010355885
Visa_fultimo_cierre_delta1	0.00104619766255034	0.00185934709662866	0.00236555748304684
Master_status_lag1	0.00103840386641973	0.00224290172315386	0.000411782228530376
ctarjeta_debito_trx_lag1	0.00101919895199454	0.00367640207299556	0.00259335190734024
mdescubierto_preacordado_lag1	0.00101430037501242	0.00127595357878948	0.00115649476948957
Master_mpagospesos_delta1	0.00100715092238121	0.00592947287885622	0.0021027177627083
Master_mpagospesos	0.000991299224771512	0.00373406555844259	0.00308398605197217
ctransferencias_emitidas_lag1	0.000927720158803523	0.00351610621575254	0.00228670556694528
internet_lag1	0.000890770752050212	0.00302329827736282	0.00193625260649389
cplazo_fijo	0.000875573057550884	0.00250790779100346	0.000385498256496522
ctransferencias_emitidas_delta1	0.000825502619536045	0.00295739114550584	0.00171721950621178
cprestamos_personales_delta1	0.000805671599437803	0.00219498654191503	0.000367975608473953
Visa_mpagado	0.000786331654907033	0.00280750861463509	0.00195377525451646
ctarjeta_visa_trx_delta1	0.000779872377836824	0.00238258512120039	0.00169093553417793
ctarjeta_master	0.000777093228039582	0.000152021238461398	0.000227794424293399
ctarjeta_visa_debitos_automaticos	0.000771000516977831	0.0019024796210698	0.00165589023813279
Master_msaldototal_lag1	0.000759319895214924	0.000967312588499604	0.00150694772994095
mextraccion_autoservicio_delta1	0.000750927762642152	0.00278696885981479	0.00180483274632462
ccuenta_debitos_automaticos_lag1	0.000724001388481804	0.00274183319915679	0.00143685713785067
mextraccion_autoservicio_lag1	0.000723274829504552	0.00137707760377024	0.00222537629886628
ccajas_consultas_delta1	0.000717708798756558	0.00413081779690116	0.000770996512993044
ctransferencias_recibidas_delta1	0.00069725440074927	0.00170802469632027	0.00170845818220049
Master_mconsumospesos_lag1	0.000693538870633889	0.00200506611071718	0.00174350347824563
ctarjeta_debito_trx_delta1	0.000677808361474896	0.00326725796539435	0.00180483274632462
mprestamos_prendarios	0.000663356223212377	0.00575772961767041	0.000657099300846344
mplazo_fijo_dolares	0.00066220588367878	0.00274691535802006	0.000525679440677075
Master_mconsumospesos	0.000660824558434386	0.00154262362385789	0.00196253657852775
ccuenta_debitos_automaticos	0.000659098005599147	0.00180291105472519	0.00147190243389581
tcuentas_lag1	0.000647621272595054	0.00477431162646223	0.000595770032767352
Master_msaldopesos_lag1	0.000644038541991236	0.00183745009098002	0.00127915330564755
Master_mpagominimo_delta1	0.000638741908881611	0.00295070687731259	0.00150694772994095
mcuenta_debitos_automaticos_delta1	0.000612068817826799	0.00249000845008226	0.00147190243389581
Master_msaldototal_delta1	0.000611862260979272	0.00253060231600916	0.00120906271355727
matm_lag1	0.000601730885124777	0.0023869031155684	0.00183111671835848
ccomisiones_mantenimiento_lag1	0.000601417143516311	0.00105429115474826	0.00106012020536543
mextraccion_autoservicio	0.000594838650458907	0.00196426688951207	0.00162960626609893
thomebanking_lag1	0.000584966071170787	0.00045713814157786	0.00101631358530901
cpagomiscuentas	0.000547009699042164	0.00155153636572149	0.00134924389773783
mpagomiscuentas_delta1	0.000544768923429444	0.00134970356073308	0.00149818640592966
Master_cconsumos	0.000529147942720928	0.00137076700225465	0.00109516550141057
ccaja_ahorro_lag1	0.000527397031235992	0.000837260829499479	0.000770996512993044
Master_mconsumospesos_delta1	0.00052336532794055	0.00213335567242155	0.0013054372776814
ctarjeta_visa_debitos_automaticos_delta1	0.000518227212118971	0.00218169985559265	0.000770996512993044
cpagomiscuentas_lag1	0.000512645933535505	0.0010969926790396	0.0012528693336137
thomebanking_delta1	0.0005123762642416	0.000888965399715765	0.000753473864970474
ccallcenter_trx_lag1	0.000503250949308644	0.00315661074309532	0.000990029613275158
Visa_mpagado_delta1	0.000497566034661623	0.00142581943222932	0.000990029613275158
matm_delta1	0.000491562562257098	0.00141678618247791	0.00124410800960241
cextraccion_autoservicio_lag1	0.000482452064641047	0.002525941012499	0.00115649476948957
matm	0.000478986120234154	0.000853079564847364	0.00129667595367012
ccajas_trx_delta1	0.000475833638650498	0.0013627930383564	0.000551963412710929
Master_mfinanciacion_limite_delta1	0.00047046925628033	0.00462242918726448	0.000946222993218735
mtarjeta_master_consumo_lag1	0.000469610338283208	0.00177076473025058	0.000884893725139743
Visa_msaldodolares_lag1	0.000461385970276139	0.00134001758554084	0.00133172124971526
Visa_mpagosdolares	0.000460671314617722	0.000884541192400708	0.000946222993218735
mplazo_fijo_dolares_delta1	0.000446617512845197	0.00389184658207266	0.00063081532881249
cextraccion_autoservicio	0.000433110339467589	0.00101100261563093	0.000893655049151028
tpaquete7	0.000426572459383315	0.0016186492681473	0.000315407664406245
cprestamos_personales_lag1	0.000416501805297485	0.00184865793938306	0.000604531356778636
mttarjeta_master_debitos_automaticos	0.000403815360553564	0.00315131047110346	0.000806041809038182
Master_msaldopesos_delta1	0.000403448298512492	0.00133097703461	0.000981268289263874
Master_mlimitecompra_delta1	0.000403072520702161	0.00156719240004992	0.000709667244914051
mcaja_ahorro_adicional_lag1	0.000399505278873167	0.00442446001272013	0.000797280485026897
Visa_status_lag1	0.000389324997134055	0.000505398707030877	0.000140181184180553
Visa_mpagosdolares_lag1	0.00037631194627573	0.000886354805370529	0.000911177697173597
mttarjeta_master_debitos_automaticos_lag1	0.000373735427783801	0.00115001215324354	0.000797280485026897
tmobile_app	0.000368425908360418	0.000209742902780288	0.000753473864970474
catm_trx_lag1	0.000361893367669757	0.00276697115992609	0.00100755226129773
ccajas_otras_delta1	0.000357399636379281	0.00127038877353879	0.000201510452259546
Master_cconsumos_lag1	0.000340229631361368	0.000663113866337056	0.000893655049151028
Visa_mfinanciacion_limite_delta1	0.000334627699346449	0.000879630419117689	0.000727189892936621
Visa_status_delta1	0.000330080000209357	0.000665407128368012	0.000359214284462668
ctarjeta_master_trx	0.000327764108227445	0.00232083743283606	0.000770996512993044
Visa_mpagado_lag1	0.000324202997753904	0.00147848137920487	0.000753473864970474
mforex_sell	0.000304416949721631	0.00109269120839345	0.000648337976835059
tcallcenter_lag1	0.000301900313534121	0.00122991433953642	0.000429304876552945
cextraccion_autoservicio_delta1	0.000292045876387456	0.000797090585688429	0.000718428568925336
Master_Fvencimiento_delta1	0.000281379649218824	0.000257901098012277	0.000622054004801206
Visa_msaldodolares_delta1	0.000272803832277095	0.00171882936590986	0.000735951216947905
Master_cconsumos_delta1	0.00026768329944802	0.000815717277789657	0.000569486060733498
cseguro_accidentes_personales_lag1	0.00026738252878304	0.00046647973166468	0.000516918116665791
ccajas_extracciones	0.000263548239269136	0.00227912110664033	0.000648337976835059
ccuenta_debitos_automaticos_delta1	0.000262790458537878	0.00233886857925956	0.000455588848586798
mforex_sell_lag1	0.000262625837851475	0.000678155909902882	0.000578247384744783
Visa_Fvencimiento_delta1	0.000261188505736494	0.000217624718108706	0.000551963412710929
Visa_mlimitecompra_delta1	0.000259110679898652	0.00057901019712892	0.000587008708756067
minversion1_pesos	0.000254366174294151	0.00307236666067861	0.000271601044349822
Master_fechaalta_delta1	0.000246109238355607	0.00015445091726587	0.000639576652823775
ccajas_otras	0.00024350619296084	0.00118790804123563	0.00021027177627083
cpagomiscuentas_delta1	0.00023435061491534	0.00142165314868436	0.000622054004801206
Visa_mconsumototal_lag1	0.000233489989787831	0.00026586084382427	0.000446827524575514
Visa_fechaalta_delta1	0.000231598683587704	0.00027115788792627	0.000446827524575514
mtarjeta_master_consumo_delta1	0.000228593862661176	0.00169742553571793	0.000569486060733498
cseguro_accidentes_personales	0.000228261567532799	0.000373503131234456	0.000367975608473953
ctarjeta_master_trx_lag1	0.000224321785262448	0.000595116906364333	0.000429304876552945
mforex_sell_delta1	0.000220366162816149	0.00105389443171452	0.000499395468643221
mcaja_ahorro_adicional	0.000219934337971654	0.00146819663044504	0.000315407664406245
mplazo_fijo_dolares_lag1	0.000219765889512217	0.00254655639216727	0.000508156792654506
Visa_msaldodolares	0.000215727734129032	0.000587750708012546	0.000508156792654506
mttarjeta_master_debitos_automaticos_delta1	0.000212286288147838	0.00225372645177325	0.000516918116665791
minversion2	0.000205539451538072	0.00320608468771468	0.000376736932485237
cpayroll_trx_lag1	0.000201605208841682	0.000655889464575205	0.000587008708756067
catm_trx	0.000200299592058785	0.0012324091909741	0.000674621948868913
Master_Finiciomora	0.000198596391546291	0.000620476361861112	0.000175226480225692
Master_mconsumosdolares_delta1	0.000192812393590985	0.000395635465424226	0.000367975608473953
